type,value
fare_amount,-0.0001
fare_amount,0.1004
fare_amount,0.1011
fare_amount,0.1016
fare_amount,0.1018
fare_amount,0.1025
fare_amount,0.1033
fare_amount,0.1034
fare_amount,0.104
fare_amount,0.1044
fare_amount,0.1047
fare_amount,0.1053
fare_amount,0.1054
fare_amount,0.1062
fare_amount,0.1069
fare_amount,0.1071
fare_amount,0.1076
fare_amount,0.108
fare_amount,0.1083
fare_amount,0.1089
fare_amount,0.1091
fare_amount,0.1098
fare_amount,0.1105
fare_amount,0.1107
fare_amount,0.1113
fare_amount,0.1116
fare_amount,0.112
fare_amount,0.1125
fare_amount,0.1127
fare_amount,0.1134
fare_amount,0.1142
fare_amount,0.1143
fare_amount,0.1149
fare_amount,0.1152
fare_amount,0.1162
fare_amount,0.1163
fare_amount,0.1171
fare_amount,0.1178
fare_amount,0.1185
fare_amount,0.1192
fare_amount,0.12
fare_amount,0.1214
fare_amount,0.1221
fare_amount,0.1234
fare_amount,0.1243
fare_amount,0.1261
fare_amount,0.1279
fare_amount,0.1298
fare_amount,0.1325
fare_amount,0.1367
fare_amount,0.1416
fare_amount,0.1476
fare_amount,0.1557
fare_amount,0.1702
fare_amount,0.1848
weekday,-0.0001
weekday,0.1004
weekday,0.1011
weekday,0.1016
weekday,0.1018
weekday,0.1025
weekday,0.1033
weekday,0.1034
weekday,0.104
weekday,0.1044
weekday,0.1047
weekday,0.1053
weekday,0.1054
weekday,0.1062
weekday,0.1069
weekday,0.1071
weekday,0.1076
weekday,0.108
weekday,0.1083
weekday,0.1089
weekday,0.1091
weekday,0.1098
weekday,0.1105
weekday,0.1107
weekday,0.1113
weekday,0.1116
weekday,0.112
weekday,0.1125
weekday,0.1127
weekday,0.1134
weekday,0.1142
weekday,0.1143
weekday,0.1149
weekday,0.1152
weekday,0.1162
weekday,0.1163
weekday,0.1171
weekday,0.1178
weekday,0.1185
weekday,0.1192
weekday,0.12
weekday,0.1214
weekday,0.1221
weekday,0.1234
weekday,0.1243
weekday,0.1261
weekday,0.1279
weekday,0.1298
weekday,0.1325
weekday,0.1367
weekday,0.1416
weekday,0.1476
weekday,0.1557
weekday,0.1702
weekday,0.1848